iter	Passed	Remaining
404	8221	12078
405	8239	12054
406	8258	12031
407	8276	12009
408	8295	11987
409	8312	11962
410	8331	11939
411	8350	11917
412	8369	11896
413	8390	11877
414	8417	11865
415	8437	11845
416	8466	11837
417	8492	11824
418	8513	11805
419	8533	11784
420	8552	11762
421	8571	11740
422	8591	11719
423	8610	11697
424	8629	11675
425	8648	11653
426	8667	11630
427	8685	11607
428	8703	11584
429	8723	11563
430	8742	11542
431	8761	11519
432	8780	11497
433	8799	11475
434	8818	11454
435	8838	11433
436	8857	11411
437	8876	11389
438	8896	11368
439	8915	11346
440	8934	11324
441	8953	11303
442	8973	11282
443	8994	11263
444	9014	11242
445	9034	11221
446	9053	11201
447	9090	11200
448	9124	11197
449	9145	11178
450	9168	11160
451	9188	11139
452	9207	11118
453	9227	11097
454	9247	11076
455	9266	11054
456	9285	11032
457	9304	11011
458	9324	10990
459	9343	10968
460	9362	10946
461	9382	10925
462	9401	10903
463	9420	10881
464	9439	10860
465	9458	10838
466	9477	10816
467	9496	10794
468	9514	10772
469	9535	10752
470	9552	10728
471	9571	10706
472	9592	10687
473	9610	10665
474	9634	10648
475	9655	10629
476	9675	10608
477	9694	10586
478	9713	10564
479	9731	10542
480	9750	10520
481	9769	10499
482	9788	10477
483	9805	10454
484	9825	10432
485	9843	10410
486	9862	10389
487	9881	10367
488	9900	10345
489	9922	10327
490	9939	10304
491	9958	10282
492	9977	10261
493	9982	10224
494	10002	10204
495	10019	10181
496	10038	10160
497	10057	10138
498	10076	10116
499	10093	10093
500	10111	10071
501	10131	10050
502	10150	10028
503	10167	10005
504	10186	9984
505	10205	9963
506	10224	9941
507	10245	9923
508	10268	9905
509	10290	9886
510	10310	9866
511	10332	9848
512	10351	9826
513	10370	9805
514	10388	9783
515	10407	9762
516	10426	9740
517	10445	9719
518	10464	9698
519	10483	9677
520	10502	9655
521	10521	9634
522	10539	9612
523	10558	9591
524	10577	9570
525	10596	9549
526	10615	9527
527	10634	9506
528	10653	9485
529	10671	9463
530	10691	9442
531	10710	9421
532	10731	9402
533	10750	9381
534	10769	9360
535	10788	9338
536	10807	9317
537	10826	9297
538	10845	9276
539	10862	9253
540	10881	9232
541	10898	9209
542	10917	9188
543	10934	9165
544	10953	9144
545	10972	9123
546	10990	9101
547	11009	9080
548	11028	9059
549	11045	9037
550	11064	9016
551	11083	8995
552	11103	8974
553	11120	8952
554	11140	8932
555	11159	8911
556	11176	8888
557	11195	8867
558	11214	8847
559	11233	8826
560	11250	8804
561	11269	8783
562	11288	8762
563	11307	8741
564	11326	8720
565	11345	8699
566	11365	8679
567	11384	8658
568	11403	8637
569	11420	8615
570	11439	8594
571	11458	8573
572	11477	8552
573	11496	8532
574	11513	8510
575	11531	8488
576	11550	8467
577	11570	8447
578	11589	8426
579	11608	8406
580	11627	8385
581	11647	8365
582	11665	8344
583	11683	8322
584	11702	8301
585	11721	8280
586	11740	8260
587	11758	8238
588	11776	8217
589	11796	8197
590	11815	8176
591	11834	8155
592	11850	8133
593	11869	8112
594	11889	8093
595	11910	8073
596	11929	8052
597	11947	8031
598	11966	8010
599	11985	7990
600	12004	7969
601	12022	7948
602	12040	7927
603	12059	7906
604	12078	7885
605	12096	7864
606	12115	7844
607	12134	7823
608	12151	7801
609	12170	7780
610	12189	7760
611	12208	7740
612	12227	7719
613	12245	7698
614	12263	7676
615	12282	7656
616	12301	7635
617	12318	7614
618	12337	7593
619	12356	7573
620	12375	7553
621	12392	7531
622	12411	7510
623	12430	7490
624	12449	7469
625	12467	7448
626	12486	7427
627	12505	7407
628	12523	7386
629	12542	7366
630	12561	7345
631	12580	7325
632	12597	7303
633	12616	7283
634	12635	7263
635	12655	7243
636	12673	7221
637	12692	7201
638	12710	7180
639	12728	7159
640	12747	7139
641	12766	7118
642	12784	7097
643	12802	7077
644	12822	7057
645	12840	7036
646	12859	7015
647	12876	6994
648	12895	6974
649	12914	6953
650	12933	6933
651	12952	6913
652	12970	6892
653	12989	6872
654	13009	6852
655	13029	6832
656	13049	6812
657	13069	6793
658	13089	6773
659	13108	6752
660	13127	6732
661	13146	6712
662	13165	6692
663	13184	6671
664	13202	6651
665	13221	6630
666	13240	6610
667	13259	6589
668	13276	6568
669	13295	6548
670	13314	6528
671	13331	6507
672	13350	6486
673	13369	6466
674	13388	6446
675	13408	6426
676	13424	6405
677	13443	6384
678	13462	6364
679	13481	6344
680	13500	6324
681	13518	6303
682	13535	6282
683	13555	6262
684	13573	6242
685	13593	6222
686	13612	6201
687	13631	6181
688	13651	6161
689	13670	6141
690	13689	6121
691	13707	6100
692	13726	6080
693	13745	6060
694	13763	6040
695	13783	6020
696	13801	5999
697	13820	5979
698	13838	5959
699	13857	5938
700	13876	5918
701	13895	5898
702	13914	5878
703	13933	5858
704	13950	5837
705	13970	5817
706	13989	5797
707	14009	5777
708	14025	5756
709	14044	5736
710	14064	5716
711	14083	5696
712	14102	5676
713	14121	5656
714	14140	5636
715	14159	5616
716	14176	5595
717	14195	5575
718	14214	5555
719	14234	5535
720	14252	5515
721	14271	5495
722	14290	5474
723	14309	5455
724	14327	5434
725	14346	5414
726	14365	5394
727	14383	5374
728	14402	5354
729	14421	5334
730	14440	5314
731	14459	5294
732	14477	5273
733	14496	5253
734	14514	5233
735	14534	5213
736	14553	5193
737	14571	5173
738	14590	5153
739	14609	5133
740	14629	5113
741	14649	5093
742	14669	5074
743	14689	5054
744	14708	5034
745	14730	5015
746	14758	4998
747	14779	4979
748	14800	4959
749	14819	4939
750	14840	4920
751	14861	4900
752	14879	4880
753	14899	4861
754	14919	4841
755	14938	4821
756	14957	4801
757	14975	4781
758	14994	4761
759	15013	4741
760	15031	4720
761	15050	4700
762	15069	4680
763	15088	4660
764	15107	4640
765	15126	4620
766	15144	4600
767	15164	4580
768	15182	4560
769	15202	4540
770	15221	4520
771	15239	4500
772	15256	4480
773	15274	4459
774	15293	4439
775	15311	4419
776	15329	4399
777	15348	4379
778	15368	4360
779	15388	4340
780	15408	4320
781	15428	4301
782	15451	4282
783	15470	4262
784	15489	4242
785	15508	4222
786	15527	4202
787	15546	4182
788	15565	4162
789	15585	4143
790	15605	4123
791	15624	4103
792	15645	4083
793	15665	4064
794	15684	4044
795	15703	4024
796	15721	4004
797	15741	3984
798	15759	3964
799	15778	3944
800	15797	3924
801	15816	3904
802	15835	3885
803	15854	3864
804	15873	3845
805	15892	3825
806	15911	3805
807	15930	3785
808	15949	3765
809	15968	3745
810	15987	3725
811	16006	3705
812	16024	3685
813	16042	3665
814	16060	3645
815	16079	3625
816	16095	3605
817	16114	3585
818	16133	3565
819	16150	3545
820	16168	3525
821	16187	3505
822	16207	3485
823	16226	3465
824	16243	3445
825	16262	3425
826	16281	3405
827	16300	3386
828	16318	3365
829	16337	3346
830	16356	3326
831	16375	3306
832	16394	3286
833	16411	3266
834	16435	3247
835	16456	3228
836	16475	3208
837	16494	3188
838	16512	3168
839	16531	3148
840	16550	3128
841	16569	3109
842	16588	3089
843	16607	3069
844	16626	3049
845	16645	3029
846	16664	3010
847	16681	2990
848	16700	2970
849	16719	2950
850	16736	2930
851	16755	2910
852	16774	2890
853	16793	2871
854	16812	2851
855	16829	2831
856	16848	2811
857	16867	2791
858	16886	2771
859	16905	2752
860	16923	2732
861	16941	2712
862	16960	2692
863	16979	2672
864	17001	2653
865	17022	2633
866	17040	2614
867	17059	2594
868	17078	2574
869	17097	2554
870	17116	2535
871	17135	2515
872	17154	2495
873	17171	2475
874	17191	2455
875	17210	2436
876	17228	2416
877	17247	2396
878	17266	2376
879	17285	2357
880	17304	2337
881	17324	2317
882	17345	2298
883	17365	2278
884	17385	2259
885	17405	2239
886	17428	2220
887	17453	2201
888	17478	2182
889	17501	2163
890	17527	2144
891	17552	2125
892	17574	2105
893	17604	2087
894	17631	2068
895	17655	2049
896	17677	2029
897	17699	2010
898	17721	1990
899	17743	1971
900	17764	1951
901	17790	1932
902	17811	1913
903	17836	1894
904	17858	1874
905	17880	1855
906	17902	1835
907	17924	1816
908	17952	1797
909	17982	1778
910	18002	1758
911	18023	1739
912	18044	1719
913	18072	1700
914	18093	1680
915	18114	1661
916	18135	1641
917	18156	1621
918	18178	1602
919	18198	1582
920	18220	1562
921	18240	1543
922	18261	1523
923	18283	1503
924	18309	1484
925	18339	1465
926	18361	1445
927	18381	1426
928	18403	1406
929	18425	1386
930	18448	1367
931	18468	1347
932	18491	1327
933	18523	1308
934	18547	1289
935	18569	1269
936	18598	1250
937	18623	1230
938	18645	1211
939	18666	1191
940	18689	1171
941	18712	1152
942	18734	1132
943	18757	1112
944	18779	1093
945	18800	1073
946	18821	1053
947	18844	1033
948	18878	1014
949	18901	994
950	18922	974
951	18943	955
952	18965	935
953	18986	915
954	19006	895
955	19028	875
956	19049	855
957	19071	836
958	19093	816
959	19114	796
960	19138	776
961	19160	756
962	19180	736
963	19220	717
964	19241	697
965	19263	678
966	19286	658
967	19314	638
968	19336	618
969	19358	598
970	19380	578
971	19401	558
972	19422	538
973	19445	519
974	19466	499
975	19488	479
976	19509	459
977	19534	439
978	19555	419
979	19592	399
980	19613	379
981	19634	359
982	19656	339
983	19677	319
984	19698	299
985	19720	280
986	19743	260
987	19764	240
988	19785	220
989	19806	200
990	19828	180
991	19851	160
992	19873	140
993	19896	120
994	19922	100
995	19942	80
996	19964	60
997	20008	40
998	20028	20
999	20050	0
